시군명,관광정보명,전화번호,데이터기준일자,정제도로명주소,정제지번주소,정제우편번호,위도,경도
용인시,처인성,031-324-3049,2021-03-05,경기도 용인시 남사면 아곡리 산43,경기도 용인시 처인구 남사읍 아곡리 산43,,37.14758693,127.1685495
광주시,지수당,031-760-4821,2021-03-05,경기도 광주시 중부면 산성리 124-1,경기도 광주시 남한산성면 산성리 124-1,12700,37.47596916,127.1893156
광주시,연무관,031-760-4821,2021-03-05,경기도 광주시 중부면 산성리 400-1,경기도 광주시 남한산성면 산성리 400-1,12700,37.47821716,127.1864269
광주시,숭렬전,,2021-03-05,경기도 광주시 중부면 남한산성로780번길 41-20,경기도 광주시 남한산성면 산성리 717번지,12700,37.48128505,127.180395
구리시,아차산일대보루군,031-550-2546,2021-03-05,경기도 구리시 우미내길 50-140,경기도 구리시 아천동 57번지,11958,37.56419737,127.104731
광주시,남한산성 행궁,031-760-4821,2021-03-05,경기도 광주시 중부면 남한산성로 784-29,,12700,,
김포시,덕포진,031-980-2965,2021-03-05,경기도 김포시 대곶면 신안리 산105,경기도 김포시 대곶면 신안리 산105,10041,37.65210232,126.5342103
광주시,수어장대,,2021-03-05,경기도 광주시 남한산성면 남한산성로780번길 107-65,,,,
안성시,칠장사,031-673-0776,2021-03-05,경기도 안성시 죽산면 칠장로 399-18,경기도 안성시 죽산면 칠장리 764번지,17524,37.02632808,127.3967906
군포시,정난종선생묘및신도비외묘역일원,,2021-03-05,경기도 군포시 속달동 산3번지,경기도 군포시 속달동 산3번지,,,
군포시,김만기선생묘,,2021-03-05,경기도 군포시 대야미동 산1-12번지,경기도 군포시 대야미동 산1-12번지,,,
군포시,전주이씨 안양군묘,,2021-03-05,경기도 군포시 산본동,경기도 군포시 산본동,,,
군포시,동래정씨 동래군파 종가,,2021-03-05,경기도 군포시 속달동 24-4,경기도 군포시 속달동 24-4,15890,37.33686149,126.9095782
평택시,평택덕목리성지,031-8024-3213,2021-03-05,경기도 평택시 현덕면 덕목리 647-1,경기도 평택시 현덕면 덕목리 647-1,17969,36.94966606,126.9537979
평택시,수성군묘및사당,031-8024-3213,2021-03-05,경기도 평택시 독곡동 산 53,경기도 평택시 독곡동 산 53,17719,37.08350117,127.0674002
평택시,충의각,031-8024-3213,2021-03-05,경기도 평택시 이충동 산 37-1,경기도 평택시 이충동 산 37-1,,,
평택시,한온장군충신정문,031-8024-3213,2021-03-05,경기도 평택시 서탄면 금암리 594,경기도 평택시 서탄면 금암리 594,17704,37.10939522,127.0330107
화성시,당성,031-369-2994,2021-03-05,경기도 화성시 서신면 상안리 산32,경기도 화성시 서신면 상안리 산32,18555,37.1959059,126.7132582
시흥시,김치인 선생 묘,031-310-6708,2021-03-05,경기도 시흥시 안현동,경기도 시흥시 안현동,,,
가평군,이방실 장군묘,031-582-3238,2021-03-05,경기도 가평군 가평읍 하색리 산81,경기도 가평군 가평읍 하색리 산81,12424,37.81048211,127.4867249
부천시,여월동 선사유적,,2021-03-05,경기도 부천시 여월동 산59(여월공원 內),경기도 부천시 여월동 산59(여월공원 內),,,
안양시,석수동 마애종,,2021-03-05,경기도 안양시 만안구 석수동 산 32,경기도 안양시 만안구 석수동 산 32,13912,37.41929682,126.9196708
안양시,삼막사 사적비,,2021-03-05,경기도 안양시 만안구 석수1동 241-54,경기도 안양시 만안구 석수1동 241-54,13910,37.43460973,126.9361431
안양시,박서 신도비,,2021-03-05,경기도 안양시 만안구 석수동 산168,경기도 안양시 만안구 석수동 산168,,,
안양시,평촌 지석묘,,2021-03-05,경기도 안양시 동안구 갈산동 1112,경기도 안양시 동안구 갈산동 1112,14105,37.37998118,126.9640225
안양시,중초사지 삼층석탑,,2021-03-05,경기도 안양시 만안구 석수동 212-1,경기도 안양시 만안구 석수동 212-1,13912,37.41769163,126.917707
안양시,삼막사 삼귀자,,2021-03-05,경기도 안양시 만안구 석수동 10-1,경기도 안양시 만안구 석수동 10-1,13910,37.42960162,126.915931
안양시,비산동 석실분,,2021-03-05,경기도 안양시 동안구 비산동 488,경기도 안양시 동안구 비산동 488,,37.40127657,126.9334581
의왕시,임영대군 묘 및 사당,,2021-03-05,"경기도 의왕시 능안아랫말길 32 (내손동, 임영대군사당)",경기도 의왕시 내손동 31번지 임영대군사당,16015,37.37641733,126.9960459
동두천시,요석공주별궁지,031-860-2064,2021-03-05,경기도 동두천시 상봉암동 산1-1번지,경기도 동두천시 상봉암동 산1-1번지,11307,37.94593626,127.0693244
김포시,갑곶나루선착장,031-980-2741,2021-03-05,경기도 김포시 월곶면 성동리 271-22,경기도 김포시 월곶면 성동리 271-22,10000,37.73359083,126.5267319
시흥시,시흥 방산동 청자와 백자 요지,031-310-2936,2021-03-05,경기도 시흥시 방산동 370-1외,경기도 시흥시 방산동 370-1외,,37.414383,126.7738574
김포시,월곶면민만세운동유적비,031-980-5345,2021-03-05,경기도 김포시 월곶면 김포대로 2857-39,경기도 김포시 월곶면 포내리 168-2번지,10024,37.71745385,126.5359471
광주시,개원사지,031-741-8829,2021-03-05,경기도 광주시 남한산성로 731-73,경기도 광주시 남한산성면 산성리 198-2번지,12700,37.47448505,127.1857395
고양시,벽제관지,031-8075-3396,2021-03-05,경기도 고양시 덕양구 벽제관로 34-16,경기도 고양시 덕양구 고양동 52-2번지,10274,37.70456014,126.9009447
하남시,현충탑,031-790-6114,2021-03-05,경기도 하남시 창우동 461-9,경기도 하남시 창우동 461-9,13023,37.52999077,127.2360042
이천시,이천 신대리 백송,031-644-2114,2021-03-05,경기도 이천시 백사면 신대리 산32번지 외 7필,경기도 이천시 백사면 신대리 산32번지 외 7필,17310,37.32001437,127.4605712
이천시,반룡송,031-644-2114,2021-03-05,경기도 이천시 백사면 도립리 201-1,경기도 이천시 백사면 도립리 201-1,17309,37.34051694,127.475456
연천군,연천심원사지,031-839-2061,2021-03-05,경기도 연천군 신서면 동내로970번길 32-268,경기도 연천군 신서면 내산리 354번지,11002,38.12839736,127.1529261
여주시,고달사지,031-887-3587,2021-03-05,경기도 여주시 북내면 상교리 411-1,경기도 여주시 북내면 상교리 411-1,12612,37.39373742,127.6524637
양평군,세심정,031-770-2474,2021-03-05,경기도 양평군 용문면 덕촌리 산 137,경기도 양평군 용문면 덕촌리 산 137,12511,,
양주시,회암사지,031-8082-4187,2021-03-05,경기도 양주시 회암사길 11,경기도 양주시 율정동 299-1번지,11464,37.84121529,127.1029731
안성시,최규서어서각,031-677-1330,2021-03-05,경기도 안성시 원곡면 만리길 35,경기도 안성시 원곡면 지문리 219-2번지,17553,37.0589833,127.1465763
안성시,입사장,031-676-2592,2021-03-05,경기도 안성시 보개면 기좌리 257,경기도 안성시 보개면 기좌리 257,17509,37.03771102,127.2878688
파주시,반구정,031-940-5831,2021-03-05,경기도 파주시 문산읍 반구정로 85번길 3,경기도 파주시 문산읍 사목리 187번지,10818,37.86785023,126.7527111
파주시,화석정,031-940-5831,2021-03-05,경기도 파주시 파평면 화석정로 152-72,경기도 파주시 파평면 율곡리 산100-1번지,10809,37.88767739,126.8054944
안성시,안성객사,031-678-2502,2021-03-05,경기도 안성시 보개면 종합운동장로 205,경기도 안성시 보개면 양복리 238-2번지,17508,37.01505336,127.3225017
양주시,금화정,,2021-03-05,경기도 양주시 부흥로 1399번길 15,경기도 양주시 유양동 141-1번지,11498,37.78567608,127.0294511
남양주시,다산유적지,031-590-2837,2021-03-05,경기도 남양주시 조안면 다산로747번길 11,경기도 남양주시 조안면 능내리 94번지,12283,37.51627604,127.2990516
연천군,은대리 물거미서식지,031-839-2061,2021-03-05,경기도 연천군 전곡읍 은대리 693-18 일원,경기도 연천군 전곡읍 은대리 693-18 일원,11024,38.04383791,127.0601719
포천시,금수정,031-532-5015,2021-03-05,경기도 포천시 창수면 오가리 546,경기도 포천시 창수면 오가리 546,11133,38.01572747,127.1877488
하남시,하남시상사창동연자마,031-790-5116,2021-03-05,경기도 하남시 상사창동 346-2,경기도 하남시 상사창동 346-2,13022,37.49310423,127.1904776
가평군,적목리 신앙유적지,031-580-2114,2021-03-05,경기도 가평군 북면 적목리 산1-28,경기도 가평군 북면 적목리 산1-28,12400,38.0025714,127.4656916
안산시,오정각,031-481-3437,2021-03-05,경기도 안산시 화정동 29,경기도 안산시 단원구 화정동 29,15209,37.36003265,126.8315225
고양시,원흥동 신라말 고려초기 청자요,031-961-2201,2021-03-05,경기도 고양시 덕양구 원흥동 산88,경기도 고양시 덕양구 원흥동 산88,10552,,
동두천시,어유소장군생가,031-860-2064,2021-03-05,경기도 동두천시 지행동 255-4,경기도 동두천시 지행동 255-4,,,
고양시,북한산 중흥사지,,2021-03-05,경기도 고양시 덕양구 대서문길 393,경기도 고양시 덕양구 북한동 259번지,10582,37.64617312,126.9769536
양주시,임꺽정생가터,,2021-03-05,경기도 양주시 유양동 576-1　,경기도 양주시 유양동 576-1,11499,37.78750862,127.0238272
안성시,안성정무공오정방고택,031-678-2502,2021-03-05,경기도 안성시 양성면 덕봉길 68-14,경기도 안성시 양성면 덕봉리 246번지,17503,37.04655463,127.1857468
양평군,화서이항로생가,031-774-5326,2021-03-05,경기도 양평군 서종면 화서1로 239,경기도 양평군 서종면 노문리 535-6번지,12500,37.63942332,127.4270959
양평군,김병호 고가,031-770-2473,2021-03-05,경기도 양평군 용문면 오촌리 181번지,경기도 양평군 용문면 오촌리 181번지,12510,37.53519995,127.5861588
여주시,명성황후생가,031-881-9730,2021-03-05,경기도 여주시 여주읍 명성로 71,경기도 여주시 능현동 250-3번지,12653,37.25967593,127.6554257
의정부시,서계 박세당 사랑채,031-828-2156,2021-03-05,경기도 의정부시 동일로128번길 36,경기도 의정부시 장암동 197번지,11725,37.70028555,127.0575681
평택시,민세안재홍생가,031-665-3365,2021-03-05,경기도 평택시 고덕면 계루지1길 7,경기도 평택시 고덕동 1694-107번지,18002,37.05720937,127.0189611
