시군명,관광정보명,,,소재주소,,,,,전화번호,위도,경도
파주시,임꺽정굴,,,경기도 파주시 적성면 설마천로 감악산 임꺽정굴,,,,,031-940-4612,,
평택시,서해대교,,,경기도 평택시 포승읍 만호리 327-4,,,,,,,
김포시,재두루미도래지,,,경기도 김포시 하성면 가금리 538,,,,,,37.73955884,126.6028871
이천시,노성산말머리바위,,,경기도 이천시 설성면 진상미로 238-7 노성산,,,,,,,
안산시,구봉도낙조전망대,,,경기도 안산시 단원구 구봉타운길 43,,,,,031-1899-1720,37.28106708,126.5519194
고양시,노래하는분수대,,,경기도 고양시 일산동구 호수로 595,,,,,031-924-5822,37.65495388,126.7687601
양평군,두물머리,,,경기도 양평군 양서면 양수리 697,,,,,031-770-1001,37.53362111,127.3174769
가평군,잣향기푸른숲,,,경기도 가평군 상면 축령로 289-146,,,,,031-8008-6769,37.76920966,127.3327955
가평군,청평호,,,경기도 가평군 설악면 회곡리 454-3,,,,,031-582-0088,37.70713666,127.4544247
안성시,용설호수,,,경기도 안성시 죽산면 용설호수길 234,,,,,031-673-9771,37.05048143,127.4423734
안성시,칠곡호수,,,경기도 안성시 원곡면 칠곡리,,,,,031-673-9771,,
안성시,청룡호수,,,경기도 안성시 서운면 청용리 산1-17,,,,,031-673-9771,36.90575614,127.2811275
시흥시,뒷방울저수지,,,경기도 시흥시 정왕동 35,,,,,031-498-0737,37.37180458,126.744781
시흥시,청룡저수지,,,경기도 시흥시 방산동 634-4,,,,,031-313-8050,37.41185061,126.7600281
시흥시,과림저수지,,,경기도 시흥시 과림저수지길 79,,,,,02-2612-3858,37.45310398,126.8272721
용인시,이동저수지,,,경기도 용인시 처인구 이동면 어비리 산46,,,,,,37.12867644,127.2073546
포천시,청계호수,,,경기도 포천시 일동면 운악청계로1480번길 45,,,,,031-832-2181,,
양주시,신암저수지,,,경기도 양주시 남면 신암리,,,,,031-863-5882,,
여주시,이포보,,,경기도 여주시 금사면 이포리 5,,,,,,37.40134582,127.5363953
여주시,강천보,,,경기도 여주시 신단1길 83,,,,,031-887-3573,37.28005806,127.6797761
이천시,설봉호,,,경기도 이천시 관고동 418-2,,,,,,37.27533049,127.4273775
광주시,팔당호,,,경기도 광주시 남종면 우천리 55,,,,,031-760-2000,,
파주시,마장호수,,,경기도 파주시 광탄면 기산로 365,,,,,031-940-5761,37.7746781,126.9328095
파주시,파평용연,,,경기도 파주시 파평면 청송로 300,,,,,031-940-4354,,
포천시,한탄강,,,경기도 포천시 영북면 자일리 산 115-2,,,,,031-538-4652,38.11625049,127.2663176
의왕시,왕송호수,,,경기도 의왕시 초평동,,,,,031-345-3534,,
의왕시,덕성산,,,경기도 의왕시 월암동,,,,,031-345-3521,,
화성시,공룡알화석산지,,,경기도 화성시 공룡로 659,,,,,031-357-3951,37.26222434,126.7470758
연천군,임진강,,,경기도 연천군 미산면 동이리,,,,,031-839-2061,,
과천시,막계청담(과천저수지),,,경기도 과천시 막계동 408,,,,,,37.43304795,127.0132542
남양주시,예봉산,,,경기도 남양주시 와부읍 조안면,,,,,,,
양평군,봉미산,,,경기도 양평군 단월면 산음리,,,,,031-770-3191,,
양평군,대부산,,,경기도 양평군 옥천면 신복리,,,,,031-770-3131,,
이천시,천덕봉,,,경기도 이천시 백사면 원적로617번길,,,,,031-645-3839,,
이천시,임오산,,,경기도 이천시 율면 임오산로 296,,,,,,37.08978783,127.5672208
남양주시,용암산,,,경기도 남양주시 별내면 용암리,,,,,031-828-4572,,
남양주시,천마산,,,경기도 남양주시 화도읍,,,,,031-590-2733,,
이천시,효양산,,,경기도 이천시 부발읍 마암리 산25,,,,,,37.27382701,127.4813978
안성시,고성산,,,경기도 안성시 원곡면 칠곡리,,,,,031-677-1330,,
이천시,양각산,,,경기도 이천시 신둔면 고척리 505-12,,,,,,37.28760106,127.3712763
안성시,서운산,,,경기도 안성시 서운면 청룡리,,,,,031-678-2563,,
남양주시,수락산,,,경기도 남양주시 별내면 청학리 551-2,,,,,031-828-2342,37.70024654,127.1029045
양평군,함왕봉,,,경기도 양평군 옥천면 용천리 산 27,,,,,031-773-5101,37.54824067,127.5247552
양평군,고래산,,,경기도 양평군 지평면 대평리,,,,,031-770-3281,,
양평군,어비산,,,경기도 양평군 옥천면,,,,,031-770-3131,,
이천시,해룡산,,,경기도 이천시 고담동 산44-2,,,,,,37.23394327,127.468964
이천시,설봉산,,,경기도 이천시 관고동 산67-3,,,,,031-645-3839,37.27443699,127.4176309
이천시,도드람산(저명산),,,경기도 이천시 마장면 목리,,,,,031-644-2636,,
이천시,노성산,,,경기도 이천시 설성면 수산리 산 65-1,,,,,,37.12651251,127.5001277
가평군,축령산,,,경기도 가평군 상면,,,,,031-592-0681,,
남양주시,문안산,,,경기도 남양주시 화도읍 금남리,,,,,031-592-4900,,
남양주시,서리산,,,경기도 남양주시 수동면,,,,,,,
화성시,쌍봉산,,,경기도 화성시 우정읍 조암리,,,,,,,
광주시,태화산,,,경기도 광주시 도척면 추곡리 169-2,,,,,031-760-4873,37.27885372,127.2929473
과천시,관악산,,,경기도 과천시 중앙동,,,,,02-3677-2343,,
오산시,독산성산림욕장,,,경기도 오산시 지곶동,,,,,031-8036-8036,,
안양시,삼성산산림욕장,,,경기도 안양시 만안구 예술공원로131번길 49,,,,,031-8045-3511,37.41954448,126.9223668
화성시,초록산산림욕장,,,경기도 화성시 양감면 사창리 810-1,,,,,031-369-2344,37.09226023,126.9547634
김포시,문수산,,,경기도 김포시 월곶면 문수산로 102-38,,,,,031-980-5986,37.73782684,126.5308936
군포시,덕고개당숲,,,경기도 군포시 속달동,,,,,,,
광명시,구름산,,,경기도 광명시 하안동 141-7번지 일대,,,,,02-2680-2339,,
김포시,가현산,,,경기도 김포시 양촌읍 구래리 산94번지,,,,,031-980-5986,37.62985199,126.6429778
파주시,감악산,,,경기도 파주시 적성면 감골길 48,,,,,031-940-4612,37.91216452,126.9521871
파주시,월롱산,,,경기도 파주시 월롱면 용상골길 403,,,,,031-940-4612,37.79822025,126.7662824
의왕시,모락산,,,경기도 의왕시 오전동,,,,,031-345-3522,,
파주시,학령산,,,경기도 파주시 앞골길 143-45,,,,,031-940-4612,37.76023425,126.7875014
평택시,부락산,,,경기도 평택시 경기도대로1376번길 38-29,,,,,031-664-9211,,
파주시,보현산,,,경기도 파주시 탄현면 헤이리로 381-2,,,,,031-940-4612,37.80913698,126.7148602
안양시,삼성산,,,경기도 안양시 만안구 석수동,,,,,031-8045-2419,,
양평군,고동산,,,경기도 양평군 서종면,,,,,031-770-3161,,
파주시,봉서산,,,경기도 파주시 파주읍 통일로 1586-24,,,,,031-940-4612,37.84909005,126.7898867
동두천시,칠봉산,,,경기도 동두천시 송내동,,,,,031-860-2471,,
파주시,박달산,,,경기도 파주시 광탄면 장지산로 200번길,,,,,031-940-4612,,
연천군,고대산,,,경기도 연천군 신서면 평화로 3282-108,,,,,031-839-2061,38.23663248,127.1570286
파주시,심학산,,,경기도 파주시 교하로 493-2,,,,,031-940-4612,37.70406165,126.7242285
하남시,검단산,,,경기도 하남시 신장동,,,,,031-790-6341,,
파주시,초리골 등산로,,,경기도 파주시 법원읍 초리골길 236,,,,,031-940-4631,37.85532376,126.8941454
수원시,칠보산,,,경기도 수원시 권선구 금호동 온정로91번길 445-30,,,,,,,
양주시,불곡산,,,경기도 양주시 유양동,,,,,031-820-2646,,
시흥시,군자봉,,,경기도 시흥시 군자동,,,,,031-310-2342,,
양주시,천보산,,,경기도 양주시 광사동,,,,,,,
군포시,수리산,,,경기도 군포시 속달동,,,,,031-387-7111,,
광주시,앵자봉,,,경기도 광주시 퇴촌면 우산리,,,,,031-760-2468,,
파주시,교하동고인돌산림욕장,,,경기도 파주시 당하2길 176,,,,,031-940-4612,,
수원시,광교산,,,경기도 수원시 장안구 상·하광교동,,,,,031-324-8373,,
파주시,명학산,,,경기도 파주시 파주읍 용지안길 137,,,,,031-940-4612,37.83695476,126.8355635
화성시,매향리,,,경기도 화성시 우정읍 매향리,,,,,,,
가평군,통방산,,,경기도 가평군 설악면 천안리 545,,,,,031-580-2482,37.64094834,127.4745193
화성시,전곡항,,,경기도 화성시 서신면 전곡항로 5,,,,,031-1577-4200,37.18561539,126.6510723
시흥시,월곶포구,,,경기도 시흥시 월곶동 820-4,,,,,031-318-4409,,
김포시,대명포구,,,경기도 김포시 대곶면 대명리,,,,,031-987-2983,,
안성시,안성낙원역사공원,,,경기도 안성시 장기로91번길 22,,,,,031-678-2744,,
부천시,상동호수공원,,,경기도 부천시 원미구 조마루로 15,,,,,032-320-3000,37.50244421,126.7452471
시흥시,연꽃테마파크,,,경기도 시흥시 관곡지로 139,,,,,031-310-6222,37.40068901,126.8083869
수원시,서호(축만제),,,경기도 수원시 팔달구 화서동 436-1,,,,,,37.27809995,126.9887537
연천군,한탄강관광지,,,경기도 연천군 전곡읍 선사로76,,,,,031-833-0030,38.00887944,127.0588639
파주시,애룡저수지,,,경기도 파주시 법원읍 애룡길 194,,,,,031-950-3260,37.82733701,126.85816
가평군,운악산,,,경기도 가평군 조종면,,,,,,,
가평군,명지산,,,경기도 가평군 북면 도대리,,,,,031-582-0103,,
포천시,명성산,,,경기도 포천시 영북면 명성산,,,,,031-538-3342,,
양평군,용문산,,,경기도 양평군 용문면 용문산로 655,,,,,031-773-0088,37.54616334,127.5821639
시흥시,소래산산림욕장,,,경기도 시흥시 대야동 332-80,,,,,031-317-2000,37.44962931,126.7828814
안산시,풍도,,,경기도 안산시 단원구 풍도길 8,,,,,031-481-2000,37.11285876,126.3926108
화성시,국화도,,,경기도 화성시 우정읍 입파길 54,,,,,031-1577-4200,37.10461314,126.538514
시흥시,오이도,,,경기도 시흥시 정왕동 1985-2042,,,,,031-498-5671,,
포천시,평강랜드,,,경기도 포천시 영북면 우물목길 171-18,,,,,031-532-1779,38.04997874,127.3061838
가평군,아침고요수목원,,,경기도 가평군 상면 수목원로 432,,,,,031-1544-6703,37.7439538,127.3525341
남양주시,산들소리 수목원,,,경기도 남양주시 불암산로59번길 48-31,,,,,031-574-3252,37.6510763,127.1015502
김포시,아라뱃길,,,경기도 김포시 고촌읍 전호리,,,,,031-1899-3650,,
용인시,석성산일출  (용인8경 중 제1경),,,경기도 용인시 기흥구 중동,,,,,,,
남양주시,물의정원,,,경기도 남양주시 조안면 북한강로 398,,,,,031-590-2783,37.55750946,127.3132182
과천시,경기도 삼남길,,,경기도 과천시 중앙동 56,,,,,,37.430579,126.9904425
의정부시,원도봉산,,,경기도 의정부시 망월로28번길 51-97,,,,,031-828-4572,37.70547364,127.0378431
가평군,화악산,,,경기도 가평군 북면 화악리,,,,,,,
가평군,수덕산,,,경기도 가평군 북면 가화로 1434,,,,,031-580-2481,37.89884683,127.5106918
광주시,관산,,,경기도 광주시 퇴촌면,,,,,031-760-4774,,
고양시,정발산,,,경기도 고양시 일산동구 가인길 58,,,,,,,
고양시,고봉산,,,경기도 고양시 일산동구 성석로 103,,,,,031-8075-2714,37.68837993,126.794745
광주시,무갑산,,,경기도 광주시 초월읍 퇴촌면,,,,,031-760-2468,,
