시군명,관광정보명,,정제도로명주소,,,,,위도,경도
파주시,임진각평화누리,,경기도 파주시 문산읍 임진각로 148-40,,,,,37.89204436,126.7447898
남양주시,주필거미박물관,,경기도 남양주시 조안면 진중리 528,,,,,37.56712835,127.2824619
파주시,헤이리예술마을,,경기도 파주시 탄현면 헤이리마을길 82-105,,,,,37.78807106,126.7037375
이천시,세라피아,,경기도 이천시 경충대로 2697번길 167-29,,,,,37.27406904,127.425927
이천시,이천자채방아마을,,경기도 이천시 대월면 대월로358번길 168-24,,,,,37.19114449,127.5070195
여주시,신륵사,,경기도 여주시 신륵사길 73,,,,,37.29742052,127.6599489
여주시,도리늘향골마을,,경기도 여주시 점동면 도리 133-1,,,,,37.22625901,127.7074977
양주시,맹골마을,,경기도 양주시 남면 휴암로 443번길 29-6,,,,,37.89333729,126.9582067
남양주시,고로쇠마을,,경기도 남양주시 수동면 비룡로1705번길30,,,,,37.76397976,127.2818298
가평군,별바라기마을,,경기도 가평군 조종면 명지산로 325,,,,,37.90133806,127.3725926
가평군,아홉마지기 마을,,경기도 가평군 가평읍 용추로 238,,,,,37.84804886,127.4876674
광명시,오리서원,,경기도 광명시 오리로 287,,,,,37.42851741,126.880501
광명시,광명시자원회수시설,,경기도 광명시 가학로 142,,,,,37.41239657,126.8610394
광명시,안터생태공원 생태체험,,경기도 광명시 안재로1번길 27,,,,,37.45933257,126.8698217
파주시,도라전망대,,경기도 파주시 장단면 제3땅굴로 310,,,,,37.90890549,126.7048144
용인시,용인곤충테마파크,,경기도 용인시 처인구 백암면 근삼리 274-7,,,,,37.14617833,127.3659655
부천시,플레이아쿠아리움부천,,경기도 부천시 조마루로 2,,,,,37.49886674,126.7453849
수원시,플라잉수원,,경기도 수원시 팔달구 지동 255-4,,,,,37.28656812,127.0263377
용인시,술샘,,경기도 용인시 처인구 양지면 죽양대로 2298-1,,,,,37.23350202,127.2986095
안양시,삼막애견공원,,경기도 안양시 만안구 석수동 18,,,,,37.42885296,126.9148134
파주시,파주산머루농원,,경기도 파주시 적성면 윗배우니길 441-25,,,,,37.96024784,126.9579204
파주시,아눔아트센터,,경기도 파주시 문발로 435,,,,,37.73143856,126.6913051
안성시,안성 서일농원,,경기도 안성시 일죽면 금일로 332-17,,,,,37.08137613,127.4762155
안성시,안성 서일농원,,경기도 안성시 일죽면 금일로 332-17,,,,,37.08137613,127.4762155
광명시,광명동굴,,경기도 광명시 가학로85번길 142,,,,,37.4246681,126.8634442
안성시,풍산개마을,,경기도 안성시 삼죽면 계곡길 89,,,,,37.08707032,127.3813834
양주시,조명박물관,,경기도 양주시 광적면 광적로 235-48,,,,,37.83610213,126.967524
양주시,가나아트파크,,경기도 양주시 장흥면 권율로 117,,,,,37.72563761,126.9499668
양주시,송암스페이스센터,,경기도 양주시 장흥면 권율로 185번길 103,,,,,37.73585174,126.9427526
부천시,만화박물관,,경기도 부천시 길주로 1,,,,,37.50867185,126.7437361
남양주시,오남공룡체험전시관,,경기도 남양주시 오남읍 팔현로 175번길,,,,,,
김포시,태산패밀리파크,,경기도 김포시 하성면 하성로 585,,,,,37.72436929,126.6301183
과천시,국립과천과학관,,경기도 과천시 상하벌로 110,,,,,37.4385349,127.0055434
고양시,한국항공대학교 항공우주박물관,,경기도 고양시 덕양구 항공대학로 76,,,,,37.5990112,126.8641708
양주시,양주초록지기마을,,경기도 양주시 남면 양연로 173번길 26,,,,,37.92278545,126.997449
여주시,세종천문대,,경기도 여주시 강천면 부평리 472-2,,,,,37.25713859,127.7541024
파주시,경기미래교육 파주캠퍼스,,경기도 파주시 탄현면 얼음실로 40,,,,,37.78528559,126.7010077
파주시,오두산통일전망대,,경기도 파주시 탄현면 필승로 369,,,,,37.77302559,126.6771018
과천시,한국카메라박물관,,경기도 과천시 대공원광장로 8,,,,,37.4350561,127.0056567
성남시,다시 쓰는 세상 순환자원홍보관,,경기도 성남시 분당구 석운로164번길 19,,,,,37.3784643,127.0475266
파주시,파주치즈스쿨,,경기도 파주시 적성면 윗배우니길 68,,,,,37.97387455,126.948074
양주시,교육농장트로이목마,,경기도 양주시 양주산성로 248-5,,,,,37.77388734,127.0206235
고양시,일산동물의왕국,,경기도 고양시 일산서구 장수길 29,,,,,37.65980578,126.7434754
용인시,목재문화체험,,경기도 용인시 처인구 모현면 초부로 220,,,,,37.31620827,127.2704679
가평군,초롱이둥지마을,,경기도 가평군 설악면 묵안로 906,,,,,37.6029837,127.5248333
화성시,은수포관광농원,,경기도 화성시 서신면 은수포길 194,,,,,37.19991547,126.6916017
광주시,곤지암베리팜,,경기도 광주시 곤지암읍 연곡리 135,,,,,37.37181696,127.3915797
오산시,생태학습체험관 오산 에코리움,,경기도 오산시 오산천로 52,,,,,37.13817161,127.0645016
수원시,수원시기후변화체험교육관 두드림,,경기도 수원시 권선구 호매실로 46-38 기후변화체험관,,,,,37.25784648,126.9686443
수원시,수원화성홍보관,,경기도 수원시 팔달구 행궁로 11,,,,,37.28079737,127.0151842
수원시,삼성이노베이션뮤지엄,,경기도 수원시 영통구 삼성로 129 삼성전자 삼성이노베이션뮤지엄,,,,,37.25763665,127.0531333
수원시,니나노 공정여행,,경기도 수원시 영통구,,,,,,
용인시,화운사,,경기도 용인시 처인구 동백죽전대로 111-14,,,,,37.25344341,127.1612992
용인시,용인문수산법륜사,,경기도 용인시 처인구 원삼면 농촌파크로 126,,,,,37.1691157,127.2994676
용인시,유아숲체험원,,경기도 용인시 수지구,,,,,,
화성시,민들레연극마을,,경기도 화성시 우정읍 이화뱅곳길 22,,,,,37.03964713,126.7979009
안성시,꽃뫼마을,,경기도 안성시 고삼면 이전봉산길 256-7,,,,,,
안성시,신기마을,,경기도 안성시 금광면 신양복길 18-43,,,,,37.00801269,127.3222145
안성시,안성맞춤공예문화센터,,경기도 안성시 보개면 남사당로 198-10,,,,,37.03462433,127.311302
화성시,신하늘목장,,경기도 화성시 남양읍 장덕동길 32-9,,,,,37.16201067,126.8097116
화성시,화성 궁평리마을,,경기도 화성시 서신면 궁평항로 1069-11,,,,,37.11615561,126.6833759
화성시,백미리마을,,경기도 화성시 서신면 백미길210-35,,,,,37.14345468,126.6801437
화성시,송라마을,,경기도 화성시 매송면 매송북길 241,,,,,37.28452547,126.9074266
화성시,청미르 휴양마을,,경기도 화성시 송산면 공룡로 484,,,,,37.24809533,126.7463933
화성시,샌드리버,,경기도 화성시 송산면 송산로152번길 28,,,,,37.22256215,126.7217822
포천시,포천 어메이징파크,,경기도 포천시 신북면 탑신로 860,,,,,37.92655925,127.1422027
수원시,칠보생태환경체험교육관,,경기도 수원시 권선구 서수원로 577번길 225,,,,,37.276469,126.9450176
양평군,양평 양떼목장,,경기도 양평군 은고갯길 112,,,,,37.51542129,127.6288192
평택시,밝은세상영농조합,,경기도 평택시 포승읍 충열길 37,,,,,36.97104842,126.8735556
여주시,여주해바라기체험마을,,경기도 여주시 강천면 부평로 368,,,,,37.2844393,127.740525
이천시,이천자채방아마을,,경기도 이천시 대월면 대월로358번길 168-24,,,,,37.19114449,127.5070195
의왕시,승림식물원,,경기도 의왕시 청계동 546-1,,,,,37.39410672,127.0095335
여주시,도리늘향골마을,,경기도 여주시 점동면 도리 133-1,,,,,37.22625901,127.7074977
양평군,옹달샘꽃누름마을,,경기도 양평군 용문면 궁촌길29번길 12-1,,,,,37.46204507,127.608057
여주시,루돌프(사슴마을),,경기도 여주시 금사면 금품2로 483,,,,,37.37621697,127.4728472
광명시,광명동굴,,경기도 광명시 가학로85번길 142,,,,,37.4246681,126.8634442
광명시,광명동굴,,경기도 광명시 가학로85번길 142,,,,,37.4246681,126.8634442
광명시,광명동굴,,경기도 광명시 가학로85번길 142,,,,,37.4246681,126.8634442
파주시,파주 산머루농원,,경기도 파주시 적성면 윗배우니길 441-25,,,,,37.96024784,126.9579204
파주시,파주 산머루농원,,경기도 파주시 적성면 윗배우니길 441-25,,,,,37.96024784,126.9579204
파주시,파주 산머루농원,,경기도 파주시 적성면 윗배우니길 441-25,,,,,37.96024784,126.9579204
양주시,조명박물관,,경기도 양주시 광적면 광적로 235-48,,,,,37.83610213,126.967524
양주시,송암스페이스센터,,경기도 양주시 장흥면 권율로 185번길 103,,,,,37.73585174,126.9427526
시흥시,창조자연사박물관,,경기도 시흥시 두문로71번길 4,,,,,37.43372887,126.7864711
김포시,다도박물관,,경기도 김포시 월곶면 애기봉로 275번길 187-49,,,,,37.73753694,126.5744441
수원시,전통식생활체험관,,경기도 수원시 팔달구 정조로 893,,,,,37.28765497,127.0147002
파주시,오두산통일전망대,,경기도 파주시 탄현면 필승로 369,,,,,37.77302559,126.6771018
파주시,파주장단콩마을,,경기도 파주시 군내면 통일촌길 64,,,,,37.91071683,126.7333027
연천군,선사체험마을,,경기도 연천군 전곡읍 양연로 1510,,,,,38.01564874,127.0614549
양주시,청암민속박물관,,경기도 양주시 장흥면 권율로 83-5,,,,,37.72205774,126.9457721
용인시,용인시박물관,,경기도 용인시 기흥구 동백 3로 79,,,,,37.27392025,127.1571468
수원시,화성행궁,,경기도 수원시 팔달구 정조로 825,,,,,37.28188483,127.0143989
파주시,캠프그리브스 DMZ 체험관,,경기도 파주시 문산읍 임진각로 177,,,,,37.8895362,126.7401868
의왕시,경기의왕 레일바이크,,경기도 의왕시 왕송못동로 209,,,,,37.31087236,126.9502606
용인시,용인 대장금파크,,경기도 용인시 처인구 드라마길 25,,,,,,
포천시,포천아트밸리 천문과학관,,경기도 포천시 신북면 아트밸리로 234,,,,,37.92344632,127.236496
평택시,웃다리문화촌,,경기도 평택시 서탄면 금각리 용소금각로 438-14,,,,,37.06873949,127.0081905
이천시,미니캠프목공교실,,경기도 이천시 설성면 설가로 219번길 176,,,,,37.15818883,127.5044937
안성시,안성천문대,,경기도 안성시 미양면 강덕리 천문대길 60,,,,,36.95556386,127.2339037
안성시,안성맞춤랜드,,경기도 안성시 보개면 남사당로 198,,,,,37.03286992,127.3077983
여주시,여성생활사박물관,,경기도 여주시 강천면 강천로 324-20,,,,,37.24252242,127.7081456
여주시,신륵사,,경기도 여주시 여주읍 신륵사길 73,,,,,37.29742052,127.6599489
안성시,선비마을,,경기도 안성시 양성면 덕봉길 45,,,,,37.04473877,127.1876548
안성시,너리굴문화마을,,경기도 안성시 보개면 너리굴길100,,,,,37.04072495,127.2787777
안성시,아트센터마노,,경기도 안성시 보개면 나마당로 196-33,,,,,,
양주시,행원도예,,경기도 양주시 장흥면 가마골로 80,,,,,37.72518309,126.9768411
여주시,여주한지문화체험학교,,경기도 여주시 점동면 안평로 296,,,,,37.20214208,127.7116971
이천시,이천청학서당,,경기도 이천시 마장면 이섭대천로 155번길 100,,,,,37.22000319,127.3914101
파주시,이시대의좋은소리,,경기도 파주시 광탄면 쇠장이길 21,,,,,37.77646648,126.9079276
파주시,자운서원,,경기도 파주시 자운서원로 204,,,,,37.86613508,126.870989
이천시,꾸메숲버섯나라,,경기도 이천시 모가면 서경리 150-1,,,,,37.1574221,127.4861006
화성시,발리오스 승마클럽,,경기도 화성시 팔탄면 3.1만세로 641-28,,,,,37.11654874,126.860405
화성시,말달리자 승마클럽,,경기도 화성시 매송면 원평리 48-5번지,,,,,37.24777073,126.9283938
화성시,돌샘터목장,,경기도 화성시 우정읍 석천안길 102-27,,,,,,
연천군,애심목장,,경기도 연천군 연천읍 와초길 10-36,,,,,38.13988733,127.0935546
포천시,허브아일랜드,,경기도 포천시 신북면 청신로947번길 35,,,,,37.96592242,127.1317088
평택시,바람새마을,,경기도 평택시 고덕면 새악길 43-62,,,,,37.01332365,127.0201596
파주시,임진각평화누리,,경기도 파주시 문산읍 임진각로 148-40,,,,,37.89204436,126.7447898
의왕시,의왕조류생태과학관,,경기도 의왕시 왕송못동길 209,,,,,37.31087236,126.9502606
오산시,물향기수목원,,경기도 오산시 청학로 211,,,,,37.16624795,127.0543478
양평군,풀향기 허브나라 & 더 토이:토이전시,,경기도 양평군 용문면 덕촌리 13-1,,,,,37.50744026,127.6055427
구리시,구리시곤충생태관,,경기도 구리시 검배로 200,,,,,37.59317729,127.159115
용인시,농도원목장,,경기도 용인시 처인구 원삼면 원양로377번길 1-34,,,,,37.1932958,127.2966319
양평군,마들가리마을,,경기도 양평군 양동면 양동로 572,,,,,37.49921959,127.7024979
양평군,세미원,,경기도 양평군 양서면 양수로 93,,,,,37.54094097,127.3239566
안성시,안성맞춤천문과학관,,경기도 안성시 보개면 남사당로 198-9,,,,,37.03292256,127.3125318
안성시,안성천문대,,경기도 안성시 미양면 천문대길 60,,,,,36.95556386,127.2339037
군포시,물누리체험관,,경기도 군포시 호수로 170-85,,,,,37.32136191,126.8996545
화성시,진주목장,,경기도 화성시 비봉면 일묵동길 24,,,,,37.24127708,126.879331
화성시,전곡리마을,,경기도 화성시 서신면 전곡항로14번길 1-16,,,,,,
화성시,국화리마을,,경기도 화성시 우정읍 국화길 8,,,,,37.06108675,126.5589943
화성시,상두리마을,,경기도 화성시 향남읍 솔태상두길 141,,,,,37.10768815,126.9464542
화성시,금당 엄나무마을,,경기도 화성시 마도면 금당복길 70,,,,,37.19175005,126.7422328
화성시,장전 노루마을,,경기도 화성시 남양읍 장전길 58,,,,,37.26475602,126.8229964
연천군,드라마미술전시장(3월오픈예정),,경기도 연천군 군남면 옥계안길 24-41,,,,,38.12089948,127.0472157
광주시,경기도자박물관,,경기도 광주시 곤지암읍 경충대로 727,,,,,37.35027997,127.3347904
양평군,광이원,,경기도 양평군 용문면 용문산로 120-11,,,,,37.50744026,127.6055427
