시군명,관광정보명,전화번호,데이터기준일자,정제도로명주소,정제지번주소,정제우편번호,위도,경도
화성시,수촌감리교회,031-351-2161,2021-03-05,경기도 화성시 장안면 수촌큰말길 32,경기도 화성시 장안면 수촌리 673번지,18581,37.10453489,126.8541136
화성시,남양성모성지,031-356-5880,2021-03-05,경기도 화성시 남양읍 남양성지로 112,경기도 화성시 남양읍 남양리 1704번지,18260,37.20642794,126.8168689
용인시,은이성지,031-338-1702,2021-03-05,경기도 용인시 처인구 양지면 은이로 182,경기도 용인시 처인구 양지면 남곡리 632-2번지,17161,37.21590534,127.2777713
의왕시,천주교 하우현성당,031-426-8921,2021-03-05,경기도 의왕시 원터아랫길 81-6,경기도 의왕시 청계동 212번지,16011,37.39597478,127.0237413
안성시,죽산성지,031-676-6701,2021-03-05,경기도 안성시 일죽면 종배길 115,경기도 안성시 일죽면 죽림리 703-6번지,17531,37.07496756,127.4493974
안성시,구포동성당,031-672-0701,2021-03-05,경기도 안성시 혜산로 33,경기도 안성시 구포동 80-1번지,17588,37.01147343,127.2740516
용인시,코코몽 에코파크,031-1661-0568,2021-03-05,경기도 용인시 수지구동천로 581 (고기동 272번지),경기도 용인시 수지구 고기동 272번지,16800,37.35440551,127.052007
용인시,공룡테마파크 다이노스타,031-1661-2050,2021-03-05,경기도 용인시 수지구동천로593(고기동257-4),경기도 용인시 수지구 고기동 253-8번지,16800,37.35618157,127.0520981
안성시,안성 팜랜드,031-8053-7979,2021-03-05,경기도 안성시 공도읍 대신두길 28,경기도 안성시 공도읍 신두리 451번지,17558,36.99208545,127.1944218
파주시,하니랜드,031-945-2250,2021-03-05,경기도 파주시 조리읍 장곡로 218,경기도 파주시 조리읍 장곡리 420-6번지,10940,37.75016895,126.8357387
파주시,한립토이뮤지엄,031-957-8470,2021-03-05,경기도 파주시 탄현면 헤이리마을길 25,경기도 파주시 탄현면 법흥리 1652-275번지,10859,37.78798791,126.6967993
과천시,서울랜드,02-509-6000,2021-03-05,경기도 과천시 광명로 181,경기도 과천시 막계동 33번지,13829,37.43650176,127.0240724
여주시,금은모래 캠핑장,031-880-4095,2021-03-05,경기도 여주시 강변유원지길 105,경기도 여주시 연양동 304-8번지,12634,37.29364381,127.6663832
안산시,대부바다향기테마파크,031-481-3409,2021-03-05,경기도 안산시 단원구 대부북동 1841-10,경기도 안산시 단원구 대부북동 1841-10,15638,37.28627583,126.5745515
양주시,송추유원지,,2021-03-05,경기도 양주시 장흥면 울대리,경기도 양주시 장흥면 울대리,11522,,
파주시,소울원(笑鬱園),031-945-4261,2021-03-05,경기도 파주시 탄현면 축현리 299-3,경기도 파주시 탄현면 축현리 299-3,10846,37.80575328,126.7336262
고양시,흥국사,02-381-7970,2021-03-05,경기도 고양시 덕양구 흥국사길 82 (지축동),경기도 고양시 덕양구 지축동 203번지,10580,37.66372337,126.9399362
양평군,묘각사,031-771-5737,2021-03-05,경기도 양평군 서종면 약수터길 83,경기도 양평군 서종면 명달리 294-1번지,12500,37.6126823,127.4477663
남양주시,능내역,,2021-03-05,경기도 남양주시 조안면 다산로 566-5,경기도 남양주시 조안면 능내리 131-1번지,12283,37.52356306,127.2961349
양평군,쉐르빌유황온천관광호텔,031-774-4101,2021-03-05,경기도 양평군 개군면 신내길7번길 37,경기도 양평군 개군면 공세리 389-2번지,12566,37.4682378,127.5308502
양평군,쉬자파크,031-770-1009,2021-03-05,경기도 양평군 양평읍 쉬자파크길 193,경기도 양평군 양평읍 백안리 산45-7번지,12547,37.51120539,127.5331874
가평군,꿈의동산,031-581-0515,2021-03-05,경기도 가평군 청평면 에덴벚꽃길 189,경기도 가평군 청평면 상천리 3번지,12449,37.78333374,127.4837602
용인시,용인 와우정사,031-339-0101,2021-03-05,경기도 용인시 해곡동 224-4,경기도 용인시 처인구 해곡동 224-4,17142,37.19480827,127.276677
용인시,용인 와우정사,031-339-0101,2021-03-05,경기도 용인시 해곡동 224-4,경기도 용인시 처인구 해곡동 224-4,17142,37.19480827,127.276677
용인시,용인 와우정사,031-339-0101,2021-03-05,경기도 용인시 해곡동 224-4,경기도 용인시 처인구 해곡동 224-4,17142,37.19480827,127.276677
의정부시,석림사,031-872-5110,2021-03-05,경기도 의정부시 동일로122번길 177,경기도 의정부시 장암동 산147번지,11725,37.70119214,127.0662635
파주시,보광사,031-948-7700,2021-03-05,경기도 파주시 광탄면 보광로474번길 87,경기도 파주시 광탄면 영장리 13번지,10953,37.75398146,126.9211842
화성시,용주사,031-234-0040,2021-03-05,경기도 화성시 용주로 136,경기도 화성시 송산동 188번지,18347,37.21178295,127.0056182
양주시,육지장사,031-871-0101,2021-03-05,경기도 양주시 백석읍 기산로471번길 190,경기도 양주시 백석읍 기산리 294-3번지,11518,37.78366272,126.9438474
평택시,심복사,031-682-5588,2021-03-05,경기도 평택시 현덕면 심복사길 22,경기도 평택시 현덕면 덕목리 114번지,17969,36.95047852,126.9659687
양주시,백화암,031-840-1582,2021-03-05,경기도 양주시 백화암길 191,경기도 양주시 유양동 582-1번지,11499,37.79456141,127.0267937
광주시,명성암,031-762-9026,2021-03-05,경기도 광주시 남종면 산수로 1876-34,경기도 광주시 남종면 귀여리 551번지,12707,37.50536187,127.3164935
연천군,임진강 평화습지원,031-839-2114,2021-03-05,경기도 연천군 중면 횡산리 186,경기도 연천군 중면 횡산리 186,11004,38.12085123,126.9887639
파주시,가야랜드,031-959-9100,2021-03-05,경기도 파주시 법원읍 사임당로 674,경기도 파주시 법원읍 가야리 330-14번지,10827,37.8512497,126.8567252
오산시,유엔군 초전기념관,031-377-1625,2021-03-05,경기도 오산시 경기도대로 742,,,,
양주시,대승사,031-855-5035,2021-03-05,경기도 양주시 장흥면 권율로 420-4,경기도 양주시 장흥면 석현리 산8-5번지,11519,37.7451702,126.9599242
김포시,문수사,031-989-6897,2021-03-05,경기도 김포시 월곶면 성동리 산 37,경기도 김포시 월곶면 성동리 산 37,10000,,
동두천시,벨기에·룩셈부르크참전기념탑,,2021-03-05,경기도 동두천시 상봉암동 13,경기도 동두천시 상봉암동 13,11307,37.94618496,127.065227
파주시,경기평화센터,031-952-2167,2021-03-05,경기도 파주시 문산읍 임진각로 148-53,경기도 파주시 문산읍 마정리 1325번지,10808,37.89042966,126.7403709
파주시,임진각관광지,031-953-4744,2021-03-05,경기도 파주시 문산읍 임진각로 148-53,경기도 파주시 문산읍 마정리 1325번지,10808,37.89042966,126.7403709
동두천시,자재암,031-865-4045,2021-03-05,경기도 동두천시 평화로2910번길 140,경기도 동두천시 상봉암동 산1-1번지,11307,37.94593626,127.0693244
이천시,미란다스파플러스,031-639-5116,2021-03-05,경기도 이천시 중리천로115번길 45,경기도 이천시 안흥동 408-1번지,17372,37.27609225,127.4511243
파주시,도라산역,031-953-3334,2021-03-05,경기도 파주시 장단면 희망로 307,경기도 파주시 장단면 노상리 556번지,10800,37.89885257,126.7096314
광주시,웰네스스파,031-8026-5605,2021-03-05,경기도 광주시 도척면 도척윗로 278,경기도 광주시 도척면 도웅리 534번지,12809,37.33749238,127.2963228
남양주시,봉선사,031-527-1951,2021-03-05,경기도 남양주시 진접읍 봉선사길 32,경기도 남양주시 진접읍 부평리 255번지,12001,37.74639755,127.1836284
김포시,약암홍염천,031-989-7000,2021-03-05,경기도 김포시 대곶면 약암로 965-7,경기도 김포시 대곶면 약암리 481번지,10042,37.63856861,126.5522798
파주시,파주 영국군 설마리 전투비,031-940-4398,2021-03-05,경기도 파주시 적성면 마지리 산2-2,경기도 파주시 적성면 마지리 산2-2,,37.94756777,126.9323783
포천시,타일랜드군참전기념비,031-538-2034,2021-03-05,경기도 포천시 영북면 문암리 산24-2번지,경기도 포천시 영북면 문암리 산24-2번지,11107,38.06412033,127.2558751
파주시,임진각 평화누리,031-953-4744,2021-03-05,경기도 파주시 문산읍 마정리 618-13,경기도 파주시 문산읍 마정리 618-13,10808,37.89326843,126.7490079
파주시,오두산통일전망대,031-945-3171,2021-03-05,경기도 파주시 탄현면 필승로 369,경기도 파주시 탄현면 성동리 659번지,10862,37.77302559,126.6771018
파주시,판문점,,2021-03-05,경기도 파주시 진서면 어룡리,경기도 파주시 진서면 어룡리,,,
화성시,하피랜드,031-1577-5752,2021-03-05,경기도 화성시 팔탄면 시청로 888,경기도 화성시 팔탄면 율암리 483-26번지,18529,37.16857307,126.8885203
화성시,율암온천,031-354-7400,2021-03-05,경기도 화성시 팔탄면 온천로 434-14,경기도 화성시 팔탄면 율암리 842-8번지,18530,37.1520899,126.8822454
화성시,발안식염온천,031-351-9700,2021-03-05,경기도 화성시 장안면 황골길 56-1,경기도 화성시 장안면 수촌리 22-6번지,18581,37.09360673,126.8669218
화성시,월문온천,031-226-5000,2021-03-05,경기도 화성시 팔탄면 버들로1597번길 5,경기도 화성시 팔탄면 월문리 235-14번지,18577,37.114616,126.8766294
파주시,임진각-내일의 기적소리,031-956-8305,2021-03-05,경기도 파주시 문산읍 마정리 1400-5일원,경기도 파주시 문산읍 마정리 1400-5일원,,37.89037638,126.7367402
파주시,임진각 평화누리,031-953-4744,2021-03-05,경기도 파주시 문산읍 마정리 618-13,경기도 파주시 문산읍 마정리 618-13,10808,37.89326843,126.7490079
가평군,호주전투기념비,031-580-2066,2021-03-05,경기도 가평군 북면 목동리 691-1,경기도 가평군 북면 목동리 691-1,12403,37.89578422,127.5596575
파주시,통일촌장단콩마을,031-953-7600,2021-03-05,경기도 파주시 군내면 통일촌길 64,경기도 파주시 군내면 백연리 1475번지,10800,37.91071683,126.7333027
포천시,타일랜드군참전기념비,031-538-2034,2021-03-05,경기도 포천시 영북면 문암리 산24-2번지,경기도 포천시 영북면 문암리 산24-2번지,11107,38.06412033,127.2558751
동두천시,자유수호평화박물관,031-860-3330,2021-03-05,경기도 동두천시 평화로 2910번길 96-63,경기도 동두천시 상봉암동 162-10번지,11307,37.94249045,127.0660896
파주시,도라산역,031-953-3334,2021-03-05,경기도 파주시 장단면 희망로 307,경기도 파주시 장단면 노상리 556번지,10800,37.89885257,126.7096314
파주시,판문점,,2021-03-05,경기도 파주시 진서면 어룡리,경기도 파주시 진서면 어룡리,,,
파주시,DMZ생태연구소,031-955-1550,2021-03-05,경기도 파주시 광인사길 111,경기도 파주시 문발동 507-7번지,10881,37.71263729,126.686075
연천군,태풍전망대,031-839-2063,2021-03-05,경기도 연천군 중면 횡산리,경기도 연천군 중면 횡산리,11004,,
가평군,캐나다전투기념비,031-580-4675,2021-03-05,경기도 가평군 북면 이곡리 207-4,경기도 가평군 북면 이곡리 207-4,12407,37.87647873,127.5300174
오산시,유엔군 초전기념관,031-377-1625,2021-03-05,경기도 오산시 경기도대로 742,,,,
연천군,연천무장공비침투로,031-839-2063,2021-03-05,경기도 연천군 장남면 반정리 294,경기도 연천군 장남면 반정리 294,11050,37.97011723,126.8280884
파주시,경의선장단역증기기관차,031-953-4744,2021-03-05,경기도 파주시 문산읍 임진각로 177,경기도 파주시 문산읍 사목리 494-1번지,10808,37.8895362,126.7401868
파주시,평화의종,031-953-4744,2021-03-05,경기도 파주시 문산읍 임진각로 148-53,경기도 파주시 문산읍 마정리 1325번지,10808,37.89042966,126.7403709
파주시,통일공원,031-940-4631,2021-03-05,경기도 파주시 파주읍 통일로 1586-24,경기도 파주시 파주읍 봉서리 358-4번지,10836,37.84909005,126.7898867
광명시,금강정사,02-898-8200,2021-03-05,경기도 광명시 설월로 58,경기도 광명시 소하동 340-1번지,14332,37.44188021,126.8728281
평택시,수도사,031-682-3169,2021-03-05,경기도 평택시 포승읍 원정리 산 119,경기도 평택시 포승읍 원정리 산 119,,,
안성시,청원사,031-655-6924,2021-03-05,경기도 안성시 원곡면 통심길 16-102,경기도 안성시 원곡면 성은리 397번지,17554,37.07135656,127.1737201
고양시,흥국사,02-381-7970,2021-03-05,경기도 고양시 덕양구 흥국사길 82,경기도 고양시 덕양구 지축동 203번지,10580,37.66372337,126.9399362
안산시,쌍계사,032-886-2110,2021-03-05,경기도 안산시 단원구 대부황금로 1171,경기도 안산시 단원구 대부북동 1058번지,15640,37.26350344,126.5786872
동두천시,자재암,031-865-4045,2021-03-05,경기도 동두천시 평화로2910번길 140,경기도 동두천시 상봉암동 산1-1번지,11307,37.94593626,127.0693244
파주시,오두산 통일전망대,031-945-3171,2021-03-05,경기도 파주시 탄현면 필승로 369,경기도 파주시 탄현면 성동리 659번지,10862,37.77302559,126.6771018
파주시,오두산 통일전망대,031-945-3171,2021-03-05,경기도 파주시 탄현면 필승로 369,경기도 파주시 탄현면 성동리 659번지,10862,37.77302559,126.6771018
파주시,오두산 통일전망대,031-945-3171,2021-03-05,경기도 파주시 탄현면 필승로 369,경기도 파주시 탄현면 성동리 659번지,10862,37.77302559,126.6771018
파주시,오두산 통일전망대,031-945-3171,2021-03-05,경기도 파주시 탄현면 필승로 369,경기도 파주시 탄현면 성동리 659번지,10862,37.77302559,126.6771018
파주시,파주 제3땅굴,031-940-8526,2021-03-05,경기도 파주시 군내면 제3땅굴로 210-358,경기도 파주시 군내면 점원리 1082-1번지,10800,37.91640324,126.6991295
파주시,파주 제3땅굴,031-940-8526,2021-03-05,경기도 파주시 군내면 제3땅굴로 210-358,경기도 파주시 군내면 점원리 1082-1번지,10800,37.91640324,126.6991295
용인시,한국민속촌,031-288-0000,2021-03-05,경기도 용인시 기흥구 민속촌로 90,경기도 용인시 기흥구 보라동 35번지,17075,37.25816601,127.1195074
용인시,한국민속촌,031-288-0000,2021-03-05,경기도 용인시 기흥구 민속촌로 90,경기도 용인시 기흥구 보라동 35번지,17075,37.25816601,127.1195074
용인시,한국민속촌,031-288-0000,2021-03-05,경기도 용인시 기흥구 민속촌로 90,경기도 용인시 기흥구 보라동 35번지,17075,37.25816601,127.1195074
용인시,용인 대장금파크,031-337-3241,2021-03-05,경기도 용인시 처인구 백암면 용천로 330,경기도 용인시 처인구 백암면 용천리 778-1번지,17182,37.11944206,127.3370944
용인시,용인 대장금파크,031-337-3241,2021-03-05,경기도 용인시 처인구 백암면 용천로 330,경기도 용인시 처인구 백암면 용천리 778-1번지,17182,37.11944206,127.3370944
파주시,하니랜드,031-945-2250,2021-03-05,경기도 파주시 조리읍 장곡로 218,경기도 파주시 조리읍 장곡리 420-6번지,10940,37.75016895,126.8357387
양주시,송추유원지,,2021-03-05,경기도 양주시 장흥면 울대리,경기도 양주시 장흥면 울대리,11522,,
파주시,한립토이뮤지엄,031-957-8470,2021-03-05,경기도 파주시 탄현면 헤이리마을길 25,경기도 파주시 탄현면 법흥리 1652-275번지,10859,37.78798791,126.6967993
파주시,소울원(笑鬱園),031-945-4261,2021-03-05,경기도 파주시 탄현면 축현리 299-3,경기도 파주시 탄현면 축현리 299-3,10846,37.80575328,126.7336262
의정부시,원효사,031-873-6083,2021-03-05,경기도 의정부시 망월로28번길 356,경기도 의정부시 호원동 229-149번지,11645,37.70933054,127.0285388
수원시,봉녕사,031-256-4127,2021-03-05,경기도 수원시 팔달구 창룡대로 236-54,경기도 수원시 팔달구 우만동 248번지,16230,37.29058856,127.0382494
파주시,용암사,031-940-5831,2021-03-05,경기도 파주시 광탄면 혜음로 742-28,경기도 파주시 광탄면 용미리 655-5번지,10955,37.75378285,126.8651076
광주시,천진암성지,031-764-5994,2021-03-05,경기도 광주시 퇴촌면 천진암로 1203,경기도 광주시 퇴촌면 우산리 500번지,12716,37.42357109,127.3884043
여주시,흥왕사,031-882-0631,2021-03-05,경기도 여주시 북내면 당전로 345-4,경기도 여주시 북내면 중암리 438번지,12614,37.34761095,127.7060079
여주시,대성사(여주),031-882-9846,2021-03-05,경기도 여주시 금사면 발림길 89-47,경기도 여주시 금사면 외평리 453번지,12601,37.39081293,127.511636
파주시,검단사,031-940-5831,2021-03-05,경기도 파주시 탄현면 필승로 292-33,경기도 파주시 탄현면 성동리 689번지,10862,37.76924926,126.6862043
오산시,보적사,031-372-3433,2021-03-05,경기도 오산시 독산성로269번길 144,경기도 오산시 지곶동 150번지,18102,37.18361826,127.0197829
