관광지명,,관광지구분,소재지도로명주소,,,,,소재지지번주소,,,,위도,경도
공릉관광지,,관광지,경기도 파주시 조리읍 장곡로 218,,,,,경기도 파주시 조리읍 장곡리 420,,,,37.74984994,126.8335561
미사경정공원,,관광지,경기도 하남시 미사대로 505,,,,,경기도 하남시 신장동 281번지,,,,37.55330797,127.2131671
아트빌리지(한옥마을),,관광지,경기도 김포시 모담공원로 170,,,,,경기도 김포시 운양동 1325-1,,,,37.64510127,126.6946856
에버랜드,,관광지,경기도 용인시 처인구 포곡읍 에버랜드로 199,,,,,경기도 용인시 처인구 포곡읍 전대리 310번지,,,,37.2940667,127.202128
한국민속촌,,관광지,경기도 용인시 기흥구 민속촌로 90,,,,,경기도 용인시 기흥구 보라동 35번지,,,,37.25913189,127.1225431
장흥관광지,,관광지,경기도 양주시 장흥면 권율로 193,,,,,경기도 양주시 장흥면 석현리 산 1,,,,37.73281632,126.9492504
경안천습지생태공원,,관광지,경기도 광주시 퇴촌면 산수로 1159,,,,,경기도 광주시 퇴촌면 정지리 456-4번지,,,,37.45920014,127.3051169
팔당물안개공원,,관광지,경기도 광주시 남종면 산수로 1897,,,,,경기도 광주시 남종면 귀여리 267-10번지,,,,37.50956344,127.3174613
중대물빛공원,,관광지,경기도 광주시 순암로 307,,,,,경기도 광주시 중대동 229번지,,,,37.40272258,127.218054
다도박물관,,관광지,경기도 김포시 월곶면 애기봉로275번길 187-49,,,,,경기도 김포시 월곶면 개곡리 832,,,,37.7375035,126.5744366
김포국제조각공원,,관광지,경기도 김포시 월곶면 용강로13번길 38,,,,,경기도 김포시 월곶면 고막리 82-1,,,,37.72080378,126.552204
문수산성,,관광지,,,,,,경기도 김포시 월곶면 성동리 산50,,,,37.7429948,126.5467533
연천호로고루,,관광지,,,,,,경기도 연천군 장남면 원당리 1258,,,,37.98583872,126.8596065
당포성,,관광지,,,,,,경기도 연천군 미산면 동이리 778,,,,38.02350322,126.9854182
연천전곡리유적,,관광지,경기도연천군전곡읍양연로1510,,,,,경기도 연천군 전곡읍 전곡리 515,,,,38.01564838,127.0614526
한탄강관광지,,관광지,경기도연천군전곡읍선사로76,,,,,경기도 연천군 전곡읍 전곡리 696-3,,,,38.00887699,127.0588604
연천재인폭포,,관광지,,,,,,경기도 연천군 연천읍 부곡리 193,,,,38.07672631,127.142345
경기도자박물관,,관광지,경기도 광주시 곤지암읍 경충대로 727,,,,,경기도 광주시 곤지암읍 삼리 72-1번지,,,,37.35028421,127.3347877
덕포진교육박물관,,관광지,경기도 김포시 대곶면 덕포진로103번길 90,,,,,경기도 김포시 대곶면 신안리 232-1,,,,37.6506248,126.5387862
천진암,,관광지,경기도 광주시 퇴촌면 천진암로 1203,,,,,경기도 광주시 퇴촌면 우산리 500번지,,,,37.42357313,127.3883989
남한산성,,관광지,경기도 광주시 남한산성면 남한산성로 731,,,,,경기도 광주시 남한산성면 산성리 158-1번지,,,,37.47669636,127.1884165
산정호수,,관광지,경기도 포천시 영북면 산정호수로411번길 5 일원,,,,,경기도 포천시 영북면 산정리 451-3일원,,,,38.065669,127.315722
분원백자자료관,,관광지,경기도 광주시 남종면 산수로 1642-1,,,,,경기도 광주시 남종면 분원리 116번지,,,,37.49625742,127.3034492
백운계곡,,관광지,경기도 포천시 이동면 포화로 236-24 일원,,,,,경기도 포천시 이동면 도평리 35 일원,,,,38.072165,127.409889
용문산 관광지,,관광지,경기도 양평군 용문면 용문산로 641,,,,,경기도 양평군 용문면 신점리 525-2번지,,,,37.54529617,127.583066
두물머리,,관광지,경기도 양평군 양서면 두물머리길 145,,,,,경기도 양평군 양서면 양수리 697번지,,,,37.53362262,127.3174715
세미원,,관광지,경기도 양평군 양서면 양수로 93,,,,,경기도 양평군 양서면 용담리 428-8번지,,,,37.54093866,127.3239608
쉬자파크,,관광지,경기도 양평군 양평읍 쉬자파크길 193,,,,,경기도 양평군 양평읍 백안리 산45-7번지,,,,37.51122354,127.5331978
고구려대장간마을,,관광지,경기도 구리시 우미내길 41,,,,,경기도 구리시 아천동 산45-1,,,,37.56080787,127.1109492
평택호관광단지,,관광단지,경기도 평택시 현덕면 평택호길 48,,,,,경기도 평택시 현덕면 권관리 551-3,,,,36.914825,126.912951
광명동굴,,관광지,경기도 광명시 가학로 85번길 142,,,,,경기도 광명시 가학동 27,,,,37.42467857,126.8634321
동구릉,,관광지,경기도 구리시 동구릉로 197,,,,,경기도 구리시 인창동 66-1,,,,37.6171286,127.136334
수동관광지,,관광지,경기도 남양주시 수동면 비룡로 1635,,,,,경기도 남양주시 수동면 내방리 254,,,,37.75797919,127.2753596
반월호수,,관광지,경기도 군포시 호수로 92,,,,,경기도 군포시 둔대동 354-3,,,,37.32458238,126.8899642
초막골 생태공원,,관광지,경기도 군포시 초막골길 216,,,,,경기도 군포시 산본동 856,,,,37.35410097,126.9191417
철쭉동산,,관광지,,,,,,경기도 군포시 산본동 1152-14,,,,37.35543392,126.924967
수리사,,관광지,경기도 군포시 속달로 347-181,,,,,경기도 군포시 속달동 329,,,,37.35443607,126.8967938
물누리체험관,,관광지,경기도 군포시 호수로 170-85,,,,,경기도 군포시 둔대동 301-5,,,,37.32136505,126.8996775
누리천문대,,관광지,경기도 군포시 대야2로 139,,,,,경기도 군포시 대야미동 636-7,,,,37.33028283,126.9153444
김포평화누리길 1코스,,관광지,,,,,,경기도 김포시 대곶면 대명리 561(대명항),,,,37.6535376,126.5533799
김포평화누리길 2코스,,관광지,,,,,,경기도 김포시 월곶면 성동리 산49(문수산성),,,,37.73869766,126.5484911
김포평화누리길 3코스,,관광지,,,,,,경기도 김포시 하성면 전류리 43-4(전류리 포구),,,,37.70077831,126.6622045
김포 장릉,,관광지,경기도 김포시 장릉로 79(풍무동),,,,,경기도 김포시 풍무동 666-1,,,,37.6107519,126.7126583
애기봉 평화생태공원,,관광지,경기도 김포시 월곶면 평화공원로 289,,,,,경기도 김포시 월곶면 조강리 1-9,,,,37.75316598,126.5942484
덕포진,,관광지,경기도 김포시 대곶면 덕포진로103번길 90,,,,,경기도 김포시 대곶면 신안리 232-1,,,,37.6506248,126.5387862
소요산관광지,,관광지,경기도 동두천시 평화로2910번길 145,,,,,경기도 동두천시 상봉암동 산 1-1,,,,37.94652177,127.0693409
대성관광지,,관광지,경기도 가평군 청평면 대성강변길 14,,,,,경기도 가평군 청평면 대성리 601-3,,,,37.681431,127.379521
산장관광지,,관광지,경기도 가평군 상면 덕현산장길 71 산장관광지,,,,,경기도 가평군 상면 덕현리 21,,,,37.754183,127.410629
