시군명,사업장명,인허가일자,영업상태명,폐업일자,총시설규모(㎡),위생업태명,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
가평군,불나불나,20100903,영업,,31.8,까페,경기도 가평군 조종면 현창로44번길 13,경기도 가평군 조종면 현리 262-23 ,,37.81977737,127.3488157
가평군,파인티하우스,2005-11-02,영업,,52.47,까페,경기도 가평군 상면 둔덕말길 232 (외 45필지),경기도 가평군 상면 상동리 산 52 외 45필지 ,,37.7971447,127.3054378
가평군,뮤직스토리,20051007,영업,,104.4,까페,경기도 가평군 상면 수목원로 398,경기도 가평군 상면 행현리 660 ,,37.74694664,127.3528801
가평군,더 벙커(The Bunker),2014-03-28,영업,,94.78,까페,"경기도 가평군 가평읍 오리나무길 51, 지하1층",경기도 가평군 가평읍 대곡리 177-1 지하1층 ,,37.82322643,127.5141806
가평군,스노우까페,20030501,영업,,42.3,까페,경기도 가평군 가평읍 북한강변로 1024 (외 3필지),경기도 가평군 가평읍 달전리 140-2번지 외 3필지,,37.8039029,127.5252431
가평군,델씨엘로,20080327,영업,,398.4,까페,"경기도 가평군 청평면 경춘로 1031, 1층",경기도 가평군 청평면 하천리 247-1번지 1층 ,,37.75282432,127.4336256
가평군,까사32,2015-04-29,영업,,69.38,까페,"경기도 가평군 설악면 유명로 2384, C동 1층",경기도 가평군 설악면 회곡리 467-6 C동1층 ,12459,37.7115042120,127.4451328757
가평군,하겐나,20131112,영업,,51.6,까페,"경기도 가평군 설악면 한서로 96, 1층",경기도 가평군 설악면 창의리 429 1층 ,,37.67311999,127.5023247
가평군,설악포장마차,20070709,영업,,47.87,까페,경기도 가평군 설악면 신천중앙로 93 (외 1필지(관련지번 408-7번지)),경기도 가평군 설악면 신천리 410-2 외 1필지(관련지번 408-7번지) ,,37.67677924,127.4929691
가평군,HIM & I,2004-08-17,영업,,142.98,까페,경기도 가평군 청평면 상지로 212,경기도 가평군 청평면 상천리 1502-9 외 1필지 ,,37.76870329,127.4731017
가평군,지붕위에 커피잔,20120904,영업,,36.26,까페,경기도 가평군 가평읍 호반로 2552,경기도 가평군 가평읍 달전리 452-16번지,,37.8135971,127.5149657
가평군,모아이카페,20131107,영업,,169.23,까페,"경기도 가평군 상면 수목원로164번길 29, 7동 1층","경기도 가평군 상면 행현리 438-2 외 4필지, 7동 1층 ",,37.76121608,127.3615029
가평군,버치티하우스,2005-11-02,영업,,47.02,까페,경기도 가평군 상면 둔덕말길 232 (외 45필지),경기도 가평군 상면 상동리 산 52 외 45필지 ,,37.7971447,127.3054378
가평군,아도니스,20150209,영업,,82.62,까페,경기도 가평군 상면 수목원로 314-2,경기도 가평군 상면 행현리 602-3번지,,37.7515206,127.358813
가평군,COFFEE N CRAFT (커피앤크래프트),20131031,영업,,73.71,까페,경기도 가평군 조종면 운악청계로 424,경기도 가평군 조종면 신상리 206-10번지,,37.8530373,127.3563121
가평군,커피볶는남자,20130930,영업,,74.4,까페,경기도 가평군 가평읍 가평제방길 63,경기도 가평군 가평읍 대곡리 31-5번지,,37.8209854,127.5189351
가평군,메이플티하우스,2005-11-02,영업,,229.05,까페,"경기도 가평군 상면 둔덕말길 232, 1층","경기도 가평군 상면 상동리 산 52 외 45필지, 1층 ",,37.7971447,127.3054378
가평군,킹,20050803,영업,,52,까페,경기도 가평군 청평면 호반로 640,경기도 가평군 청평면 호명리 산 18-1번지,,37.7099166,127.4578097
가평군,마더스 아뜰리에 로스터리 카페,2012-09-04,영업,,67.89,까페,"경기도 가평군 설악면 유명로 1454-25, B동 1~2층","경기도 가평군 설악면 신천리 726-6 외 1필지, B동 1~2층 ",,37.66186985,127.4816665
가평군,남매이야기,20120911,폐업,20161006,135.53,까페,"경기도 가평군 조종면 현창로44번길 19, 지하1층",경기도 가평군 조종면 현리 275-9번지 지하1층,,37.8203189,127.3490122
가평군,블랜딩,20100429,폐업,20180907,71.28,까페,경기도 가평군 북면 이곡둑길 153 (외 1필지),경기도 가평군 북면 이곡리 605-1번지 외 1필지,,37.8813116,127.5489092
가평군,라훔(LaHum),20130924,폐업,20180813,109.64,까페,경기도 가평군 북면 백둔로 508,경기도 가평군 북면 백둔리 455-9번지,,37.904364,127.4536941
가평군,루,20130425,폐업,20170628,49,까페,"경기도 가평군 가평읍 상지로 695, 4동 2층",경기도 가평군 가평읍 산유리 728-17번지 2층 4동,,37.7510644,127.4955513
가평군,헤븐,2007-08-29,폐업,2025-03-27,82.26,까페,경기도 가평군 조종면 현창로 70,경기도 가평군 조종면 현리 303-6 ,12437,37.8205225330,127.3465531247
가평군,해바라기카페,20131105,폐업,20151007,89.58,까페,경기도 가평군 가평읍 가화로 55-6,경기도 가평군 가평읍 대곡리 168-16번지,,37.8248754,127.5152708
가평군,히어앤나우,20090922,폐업,20150901,63.18,까페,경기도 가평군 가평읍 호반로 1698-59,경기도 가평군 가평읍 산유리 48-1번지,,37.7451626,127.5147208
가평군,또래오래치킨 모노커피 설악점,20131028,폐업,20180302,72.9,까페,"경기도 가평군 설악면 유명로 1600, 102호",경기도 가평군 설악면 신천리 669-6번지 102호,,37.6725071,127.4876412
가평군,7080연화까페,20080829,폐업,20130529,41.1,까페,경기도 가평군 설악면 신천중앙로 78,경기도 가평군 설악면 신천리 158-2번지,,37.6754441,127.4942008
가평군,라일락,20051130,폐업,20061107,66.2,까페,경기도 가평군 청평면 청평중앙로72번길 22 (청평리),경기도 가평군 청평면 청평리 388-12번지,,37.7376342,127.4226403
가평군,바젠,2005-03-15,폐업,2023-12-27,97.4,까페,경기도 가평군 가평읍 가화로 55-6 (.4.11),경기도 가평군 가평읍 대곡리 168-16 .4.11 ,,37.82488471,127.5153399
가평군,다비어,20050729,폐업,20090107,33.96,까페,경기도 가평군 가평읍 보납로6번길 15 외 2필지 (읍내리),경기도 가평군 가평읍 읍내리 489-1번지 외 2필지,,37.8298193,127.5116361
가평군,포엠,20081029,폐업,20181227,126.33,까페,경기도 가평군 조종면 현창로38번길 6,경기도 가평군 조종면 현리 265-6번지 ,,37.8185359,127.3487313
가평군,일레븐스가든,20051122,폐업,20140205,271.74,까페,경기도 가평군 청평면 호반로 752 (외 1필지),경기도 가평군 청평면 호명리 339-1번지 외 1필지,,37.7086373,127.4670329
가평군,나르샤,20110211,폐업,20161212,106.4,까페,경기도 가평군 상면 임초밤안골로 119-95,경기도 가평군 상면 임초리 129-3번지,,37.7567662,127.3756441
가평군,에쿠스,20061106,폐업,20161212,132.41,까페,경기도 가평군 청평면 경춘로 1195,경기도 가평군 청평면 상천리 1151-20번지,,37.7645494,127.4437764
가평군,몽블랑,2013-10-30,폐업,2024-12-10,60.22,까페,"경기도 가평군 조종면 현창로38번길 21, 나동 2층",경기도 가평군 조종면 현리 262-50 2층 나동 ,12437,37.8200573702,127.3492810040
가평군,봉수아르,20130902,폐업,20141008,37.2,까페,경기도 가평군 청평면 경춘로 256,경기도 가평군 청평면 대성리 344-22번지 E동,,37.6981382,127.3849883
